#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2016 04 13 02 10 136  2.0  2.5 99.00 99.00 99.00 999 1029.7   4.7   4.3   1.1 99.0 99.00 
2016 04 13 02 20 119  1.9  2.2 99.00 99.00 99.00 999 1029.6   4.5   4.3   1.2 99.0 99.00 
2016 04 13 02 30 116  1.8  2.3 99.00 99.00 99.00 999 1029.7   4.4   4.3   1.3 99.0 99.00 
2016 04 13 02 40 102  1.7  2.1  0.07 99.00  2.92 999 1029.7   4.3   4.3   1.1 99.0 99.00 
2016 04 13 02 50  93  1.9  2.2 99.00 99.00 99.00 999 1029.6   4.2   4.4   1.6 99.0 99.00 
2016 04 13 03 00  93  2.0  2.4 99.00 99.00 99.00 999 1029.6   4.1   4.3   2.0 99.0 99.00 
2016 04 13 03 10  90  2.1  2.7 99.00 99.00 99.00 999 1029.7   4.0   4.3   1.9 99.0 99.00 
2016 04 13 03 20  89  2.5  3.2 99.00 99.00 99.00 999 1029.5   4.0   4.3   1.8 99.0 99.00 
2016 04 13 03 30  90  2.7  3.3 99.00 99.00 99.00 999 1029.5   4.0   4.4   2.0 99.0 99.00 
2016 04 13 03 40  95  3.2  3.9  0.10 99.00  3.21 999 1029.5   4.0   4.3   1.6 99.0 99.00 
2016 04 13 03 50 101  3.5  4.2 99.00 99.00 99.00 999 1029.4   4.1   4.3   1.2 99.0 99.00 
2016 04 13 04 00 102  3.5  4.3 99.00 99.00 99.00 999 1029.4   4.2   4.3   0.4 99.0 99.00 
2016 04 13 04 10 102  3.3  3.9 99.00 99.00 99.00 999 1029.5   4.3   4.3   0.6 99.0 99.00 
2016 04 13 04 20 101  3.2  3.7 99.00 99.00 99.00 999 1029.6   4.2   4.4   1.0 99.0 99.00 
2016 04 13 04 30  96  3.1  3.7 99.00 99.00 99.00 999 1029.6   4.1   4.3   0.9 99.0 99.00 
2016 04 13 04 40  93  3.2  3.7  0.08 99.00  3.25 999 1029.7   4.1   4.4   0.8 99.0 99.00 
2016 04 13 04 50  89  3.5  4.6 99.00 99.00 99.00 999 1029.7   4.1   4.4   0.2 99.0 99.00 
2016 04 13 05 00  88  3.7  4.5 99.00 99.00 99.00 999 1029.9   4.0   4.4  -0.2 99.0 99.00 
2016 04 13 05 10  92  4.0  4.7 99.00 99.00 99.00 999 1030.0   4.0   4.3  -0.3 99.0 99.00 
2016 04 13 05 20  93  4.1  4.9 99.00 99.00 99.00 999 1030.0   4.0   4.4  -0.2 99.0 99.00 
2016 04 13 05 30  93  4.3  5.0 99.00 99.00 99.00 999 1030.0   4.0   4.4  -0.1 99.0 99.00 
2016 04 13 05 40  94  4.2  5.1  0.07 99.00  2.92 999 1030.0   3.9   4.3   0.3 99.0 99.00 
2016 04 13 05 50  96  4.2  5.1 99.00 99.00 99.00 999 1030.2   3.9   4.3   0.3 99.0 99.00 
2016 04 13 06 00  97  4.1  4.9 99.00 99.00 99.00 999 1030.2   3.9   4.3   0.3 99.0 99.00 
2016 04 13 06 10  99  4.5  5.2 99.00 99.00 99.00 999 1030.2   3.9   4.3   0.3 99.0 99.00 
2016 04 13 06 20  99  4.5  5.4 99.00 99.00 99.00 999 1030.3   3.9   4.3   0.5 99.0 99.00 
2016 04 13 06 30  98  4.5  5.3 99.00 99.00 99.00 999 1030.4   3.8   4.3   0.8 99.0 99.00 
2016 04 13 06 40  98  4.3  5.2  0.14 99.00  2.41 999 1030.4   3.8   4.3   1.0 99.0 99.00 
2016 04 13 06 50  97  4.0  4.8 99.00 99.00 99.00 999 1030.4   3.8   4.3   1.4 99.0 99.00 
2016 04 13 07 00  98  3.9  4.8 99.00 99.00 99.00 999 1030.4   3.8   4.3   1.6 99.0 99.00 
2016 04 13 07 10 100  3.7  4.3 99.00 99.00 99.00 999 1030.4   3.8   4.3   1.8 99.0 99.00 
2016 04 13 07 20 100  3.8  4.6 99.00 99.00 99.00 999 1030.4   3.8   4.3   2.0 99.0 99.00 
2016 04 13 07 30 105  3.6  4.4 99.00 99.00 99.00 999 1030.4   3.8   4.3   1.9 99.0 99.00 
2016 04 13 07 40 115  3.8  4.8  0.16 99.00  2.44 999 1030.4   3.9   4.3   1.1 99.0 99.00 
2016 04 13 07 50 120  4.2  4.9 99.00 99.00 99.00 999 1030.4   4.0   4.3   0.4 99.0 99.00 
2016 04 13 08 00 120  4.2  4.9 99.00 99.00 99.00 999 1030.4   4.0   4.3   0.3 99.0 99.00 
2016 04 13 08 10 119  4.0  4.7 99.00 99.00 99.00 999 1030.4   3.9   4.3   0.5 99.0 99.00 
2016 04 13 08 20 116  4.0  4.9 99.00 99.00 99.00 999 1030.3   3.9   4.3   0.6 99.0 99.00 
2016 04 13 08 30 110  3.9  4.9 99.00 99.00 99.00 999 1030.4   3.9   4.3   0.8 99.0 99.00 
2016 04 13 08 40 109  4.2  4.9  0.20 99.00  2.59 999 1030.5   3.9   4.3   0.5 99.0 99.00 
2016 04 13 08 50 109  4.1  5.0 99.00 99.00 99.00 999 1030.5   3.9   4.3   0.3 99.0 99.00 
2016 04 13 09 00 109  4.2  5.0 99.00 99.00 99.00 999 1030.5   3.9   4.3   0.0 99.0 99.00 
2016 04 13 09 10 112  4.1  5.1 99.00 99.00 99.00 999 1030.6   3.9   4.3   0.2 99.0 99.00 
2016 04 13 09 20 112  4.1  4.8 99.00 99.00 99.00 999 1030.6   3.9   4.2   0.2 99.0 99.00 
2016 04 13 09 30 111  4.1  4.9 99.00 99.00 99.00 999 1030.6   3.8   4.2   0.1 99.0 99.00 
2016 04 13 09 40 109  4.1  4.9  0.20 99.00  2.49 999 1030.7   3.8   4.2   0.0 99.0 99.00 
2016 04 13 09 50 109  3.9  4.5 99.00 99.00 99.00 999 1030.9   3.8   4.2  -0.2 99.0 99.00 
2016 04 13 10 00 114  3.7  4.7 99.00 99.00 99.00 999 1031.0   3.8   4.2   0.0 99.0 99.00 
2016 04 13 10 10 108  3.5  4.3 99.00 99.00 99.00 999 1031.1   3.8   4.2   0.2 99.0 99.00 
2016 04 13 10 20 109  3.6  4.4 99.00 99.00 99.00 999 1031.1   3.8   4.2   0.1 99.0 99.00 
2016 04 13 10 30 110  3.8  4.6 99.00 99.00 99.00 999 1031.2   3.8   4.2  -0.1 99.0 99.00 
2016 04 13 10 40 109  3.7  4.4  0.20 99.00  2.51 999 1031.3   3.8   4.1  -0.2 99.0 99.00 
2016 04 13 10 50 104  3.8  4.7 99.00 99.00 99.00 999 1031.3   3.8   4.2  -0.4 99.0 99.00 
2016 04 13 11 00  98  3.6  4.9 99.00 99.00 99.00 999 1031.3   3.8   4.1  -0.2 99.0 99.00 
2016 04 13 11 10  95  3.3  4.3 99.00 99.00 99.00 999 1031.3   3.7   4.1   0.7 99.0 99.00 
2016 04 13 11 20 104  3.2  4.0 99.00 99.00 99.00 999 1031.4   3.7   4.1   0.6 99.0 99.00 
2016 04 13 11 30 113  4.0  4.8 99.00 99.00 99.00 999 1031.4   3.9   4.1  -0.5 99.0 99.00 
2016 04 13 11 40 112  4.0  4.8  0.17 99.00  2.48 999 1031.4   3.9   4.1  -0.5 99.0 99.00 
2016 04 13 11 50 112  3.9  4.8 99.00 99.00 99.00 999 1031.6   3.8   4.1  -0.2 99.0 99.00 
2016 04 13 12 00 112  3.5  4.3 99.00 99.00 99.00 999 1031.7   3.9   4.1   0.1 99.0 99.00 
2016 04 13 12 10 114  4.0  5.1 99.00 99.00 99.00 999 1031.7   3.9   4.1  -0.3 99.0 99.00 
2016 04 13 12 20 117  3.9  4.8 99.00 99.00 99.00 999 1031.8   3.9   4.1  -0.2 99.0 99.00 
2016 04 13 12 30 119  3.9  4.8 99.00 99.00 99.00 999 1031.7   4.0   4.1  -0.1 99.0 99.00 
2016 04 13 12 40 115  4.5  5.2  0.17 99.00  2.46 999 1031.7   4.0   4.1  -0.3 99.0 99.00 
